code,title,soc2d,soc3d,soc5d,soc6d,Level,Hierarchical_structure
31-9096,Veterinary Assistants and Laboratory Animal Caretakers,31-0000,31-9000,31-9090,31-9096,6,Detailed Occupation
31-9099,"Healthcare Support Workers, All Other",31-0000,31-9000,31-9090,31-9099,6,Detailed Occupation
33-0000,Protective Service Occupations,33-0000,NA,NA,NA,2,Major Group
33-1000,"First-Line Supervisors/Managers, Protective Service Workers",33-0000,33-1000,NA,NA,3,Minor Group
33-1010,"First-Line Supervisors/Managers, Law Enforcement Workers",33-0000,33-1000,33-1010,NA,5,Broad Occupation
33-1011,First-Line Supervisors/Managers of Correctional Officers,33-0000,33-1000,33-1010,33-1011,6,Detailed Occupation
33-1012,First-Line Supervisors/Managers of Police and Detectives,33-0000,33-1000,33-1010,33-1012,6,Detailed Occupation
33-1020,"First-Line Supervisors/Managers, Fire Fighting and Prevention Workers",33-0000,33-1000,33-1020,NA,5,Broad Occupation
33-1021,First-Line Supervisors/Managers of Fire Fighting and Prevention Workers,33-0000,33-1000,33-1020,33-1021,6,Detailed Occupation
33-1090,"Miscellaneous First-Line Supervisors/Managers, Protective Service Workers",33-0000,33-1000,33-1090,NA,5,Broad Occupation
33-1099,"First-Line Supervisors/Managers, Protective Service Workers, All Other",33-0000,33-1000,33-1090,33-1099,6,Detailed Occupation
33-2000,Fire Fighting and Prevention Workers,33-0000,33-2000,NA,NA,3,Minor Group
33-2010,Fire Fighters,33-0000,33-2000,33-2010,NA,5,Broad Occupation
33-2011,Fire Fighters,33-0000,33-2000,33-2010,33-2011,6,Detailed Occupation
33-2020,Fire Inspectors,33-0000,33-2000,33-2020,NA,5,Broad Occupation
33-2021,Fire Inspectors and Investigators,33-0000,33-2000,33-2020,33-2021,6,Detailed Occupation
33-2022,Forest Fire Inspectors and Prevention Specialists,33-0000,33-2000,33-2020,33-2022,6,Detailed Occupation
33-3000,Law Enforcement Workers,33-0000,33-3000,NA,NA,3,Minor Group
33-3010,"Bailiffs, Correctional Officers, and Jailers",33-0000,33-3000,33-3010,NA,5,Broad Occupation
33-3011,Bailiffs,33-0000,33-3000,33-3010,33-3011,6,Detailed Occupation
33-3012,Correctional Officers and Jailers,33-0000,33-3000,33-3010,33-3012,6,Detailed Occupation
33-3020,Detectives and Criminal Investigators,33-0000,33-3000,33-3020,NA,5,Broad Occupation
33-3021,Detectives and Criminal Investigators,33-0000,33-3000,33-3020,33-3021,6,Detailed Occupation
33-3030,Fish and Game Wardens,33-0000,33-3000,33-3030,NA,5,Broad Occupation
33-3031,Fish and Game Wardens,33-0000,33-3000,33-3030,33-3031,6,Detailed Occupation
33-3040,Parking Enforcement Workers,33-0000,33-3000,33-3040,NA,5,Broad Occupation
33-3041,Parking Enforcement Workers,33-0000,33-3000,33-3040,33-3041,6,Detailed Occupation
33-3050,Police Officers,33-0000,33-3000,33-3050,NA,5,Broad Occupation
33-3051,Police and Sheriff's Patrol Officers,33-0000,33-3000,33-3050,33-3051,6,Detailed Occupation
33-3052,Transit and Railroad Police,33-0000,33-3000,33-3050,33-3052,6,Detailed Occupation
33-9000,Other Protective Service Workers,33-0000,33-9000,NA,NA,3,Minor Group
33-9010,Animal Control Workers,33-0000,33-9000,33-9010,NA,5,Broad Occupation
33-9011,Animal Control Workers,33-0000,33-9000,33-9010,33-9011,6,Detailed Occupation
33-9020,Private Detectives and Investigators,33-0000,33-9000,33-9020,NA,5,Broad Occupation
33-9021,Private Detectives and Investigators,33-0000,33-9000,33-9020,33-9021,6,Detailed Occupation
33-9030,Security Guards and Gaming Surveillance Officers,33-0000,33-9000,33-9030,NA,5,Broad Occupation
33-9031,Gaming Surveillance Officers and Gaming Investigators,33-0000,33-9000,33-9030,33-9031,6,Detailed Occupation
33-9032,Security Guards,33-0000,33-9000,33-9030,33-9032,6,Detailed Occupation
33-9090,Miscellaneous Protective Service Workers,33-0000,33-9000,33-9090,NA,5,Broad Occupation
33-9091,Crossing Guards,33-0000,33-9000,33-9090,33-9091,6,Detailed Occupation
33-9092,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",33-0000,33-9000,33-9090,33-9092,6,Detailed Occupation
33-9099,"Protective Service Workers, All Other",33-0000,33-9000,33-9090,33-9099,6,Detailed Occupation
35-0000,Food Preparation and Serving Related Occupations,35-0000,NA,NA,NA,2,Major Group
35-1000,"Supervisors, Food Preparation and Serving Workers",35-0000,35-1000,NA,NA,3,Minor Group
35-1010,"First-Line Supervisors/Managers, Food Preparation and Serving Workers",35-0000,35-1000,35-1010,NA,5,Broad Occupation
35-1011,Chefs and Head Cooks,35-0000,35-1000,35-1010,35-1011,6,Detailed Occupation
35-1012,First-Line Supervisors/Managers of Food Preparation and Serving Workers,35-0000,35-1000,35-1010,35-1012,6,Detailed Occupation
35-2000,Cooks and Food Preparation Workers,35-0000,35-2000,NA,NA,3,Minor Group
35-2010,Cooks,35-0000,35-2000,35-2010,NA,5,Broad Occupation
35-2011,"Cooks, Fast Food",35-0000,35-2000,35-2010,35-2011,6,Detailed Occupation
35-2012,"Cooks, Institution and Cafeteria",35-0000,35-2000,35-2010,35-2012,6,Detailed Occupation
35-2013,"Cooks, Private Household",35-0000,35-2000,35-2010,35-2013,6,Detailed Occupation
35-2014,"Cooks, Restaurant",35-0000,35-2000,35-2010,35-2014,6,Detailed Occupation
35-2015,"Cooks, Short Order",35-0000,35-2000,35-2010,35-2015,6,Detailed Occupation
35-2019,"Cooks, All Other",35-0000,35-2000,35-2010,35-2019,6,Detailed Occupation
35-2020,Food Preparation Workers,35-0000,35-2000,35-2020,NA,5,Broad Occupation
35-2021,Food Preparation Workers,35-0000,35-2000,35-2020,35-2021,6,Detailed Occupation
35-3000,Food and Beverage Serving Workers,35-0000,35-3000,NA,NA,3,Minor Group
35-3010,Bartenders,35-0000,35-3000,35-3010,NA,5,Broad Occupation
35-3011,Bartenders,35-0000,35-3000,35-3010,35-3011,6,Detailed Occupation
35-3020,Fast Food and Counter Workers,35-0000,35-3000,35-3020,NA,5,Broad Occupation
35-3021,"Combined Food Preparation and Serving Workers, Including Fast Food",35-0000,35-3000,35-3020,35-3021,6,Detailed Occupation
35-3022,"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop",35-0000,35-3000,35-3020,35-3022,6,Detailed Occupation
35-3030,Waiters and Waitresses,35-0000,35-3000,35-3030,NA,5,Broad Occupation
35-3031,Waiters and Waitresses,35-0000,35-3000,35-3030,35-3031,6,Detailed Occupation
35-3040,"Food Servers, Nonrestaurant",35-0000,35-3000,35-3040,NA,5,Broad Occupation
35-3041,"Food Servers, Nonrestaurant",35-0000,35-3000,35-3040,35-3041,6,Detailed Occupation
35-9000,Other Food Preparation and Serving Related Workers,35-0000,35-9000,NA,NA,3,Minor Group
35-9010,Dining Room and Cafeteria Attendants and Bartender Helpers,35-0000,35-9000,35-9010,NA,5,Broad Occupation
35-9011,Dining Room and Cafeteria Attendants and Bartender Helpers,35-0000,35-9000,35-9010,35-9011,6,Detailed Occupation
35-9020,Dishwashers,35-0000,35-9000,35-9020,NA,5,Broad Occupation
35-9021,Dishwashers,35-0000,35-9000,35-9020,35-9021,6,Detailed Occupation
35-9030,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",35-0000,35-9000,35-9030,NA,5,Broad Occupation
35-9031,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",35-0000,35-9000,35-9030,35-9031,6,Detailed Occupation
35-9090,Miscellaneous Food Preparation and Serving Related Workers,35-0000,35-9000,35-9090,NA,5,Broad Occupation
35-9099,"Food Preparation and Serving Related Workers, All Other",35-0000,35-9000,35-9090,35-9099,6,Detailed Occupation
37-0000,Building and Grounds Cleaning and Maintenance Occupations,37-0000,NA,NA,NA,2,Major Group
37-1000,"Supervisors, Building and Grounds Cleaning and Maintenance Workers",37-0000,37-1000,NA,NA,3,Minor Group
37-1010,"First-Line Supervisors/Managers, Building and Grounds Cleaning and Maintenance Workers",37-0000,37-1000,37-1010,NA,5,Broad Occupation
37-1011,First-Line Supervisors/Managers of Housekeeping and Janitorial Workers,37-0000,37-1000,37-1010,37-1011,6,Detailed Occupation
37-1012,"First-Line Supervisors/Managers of Landscaping, Lawn Service, and Groundskeeping Workers",37-0000,37-1000,37-1010,37-1012,6,Detailed Occupation
37-2000,Building Cleaning and Pest Control Workers,37-0000,37-2000,NA,NA,3,Minor Group
37-2010,Building Cleaning Workers,37-0000,37-2000,37-2010,NA,5,Broad Occupation
37-2011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",37-0000,37-2000,37-2010,37-2011,6,Detailed Occupation
37-2012,Maids and Housekeeping Cleaners,37-0000,37-2000,37-2010,37-2012,6,Detailed Occupation
37-2019,"Building Cleaning Workers, All Other",37-0000,37-2000,37-2010,37-2019,6,Detailed Occupation
37-2020,Pest Control Workers,37-0000,37-2000,37-2020,NA,5,Broad Occupation
37-2021,Pest Control Workers,37-0000,37-2000,37-2020,37-2021,6,Detailed Occupation
37-3000,Grounds Maintenance Workers,37-0000,37-3000,NA,NA,3,Minor Group
37-3010,Grounds Maintenance Workers,37-0000,37-3000,37-3010,NA,5,Broad Occupation
37-3011,Landscaping and Groundskeeping Workers,37-0000,37-3000,37-3010,37-3011,6,Detailed Occupation
37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",37-0000,37-3000,37-3010,37-3012,6,Detailed Occupation
37-3013,Tree Trimmers and Pruners,37-0000,37-3000,37-3010,37-3013,6,Detailed Occupation
37-3019,"Grounds Maintenance Workers, All Other",37-0000,37-3000,37-3010,37-3019,6,Detailed Occupation
39-0000,Personal Care and Service Occupations,39-0000,NA,NA,NA,2,Major Group
39-1000,"Supervisors, Personal Care and Service Workers",39-0000,39-1000,NA,NA,3,Minor Group
39-1010,First-Line Supervisors/Managers of Gaming Workers,39-0000,39-1000,39-1010,NA,5,Broad Occupation
39-1011,Gaming Supervisors,39-0000,39-1000,39-1010,39-1011,6,Detailed Occupation
39-1012,Slot Key Persons,39-0000,39-1000,39-1010,39-1012,6,Detailed Occupation
39-1020,First-Line Supervisors/Managers of Personal Service Workers,39-0000,39-1000,39-1020,NA,5,Broad Occupation
39-1021,First-Line Supervisors/Managers of Personal Service Workers,39-0000,39-1000,39-1020,39-1021,6,Detailed Occupation
39-2000,Animal Care and Service Workers,39-0000,39-2000,NA,NA,3,Minor Group
39-2010,Animal Trainers,39-0000,39-2000,39-2010,NA,5,Broad Occupation
39-2011,Animal Trainers,39-0000,39-2000,39-2010,39-2011,6,Detailed Occupation
39-2020,Nonfarm Animal Caretakers,39-0000,39-2000,39-2020,NA,5,Broad Occupation
39-2021,Nonfarm Animal Caretakers,39-0000,39-2000,39-2020,39-2021,6,Detailed Occupation
39-3000,Entertainment Attendants and Related Workers,39-0000,39-3000,NA,NA,3,Minor Group
39-3010,Gaming Services Workers,39-0000,39-3000,39-3010,NA,5,Broad Occupation
39-3011,Gaming Dealers,39-0000,39-3000,39-3010,39-3011,6,Detailed Occupation
39-3012,Gaming and Sports Book Writers and Runners,39-0000,39-3000,39-3010,39-3012,6,Detailed Occupation
39-3019,"Gaming Service Workers, All Other",39-0000,39-3000,39-3010,39-3019,6,Detailed Occupation
39-3020,Motion Picture Projectionists,39-0000,39-3000,39-3020,NA,5,Broad Occupation
39-3021,Motion Picture Projectionists,39-0000,39-3000,39-3020,39-3021,6,Detailed Occupation
39-3030,"Ushers, Lobby Attendants, and Ticket Takers",39-0000,39-3000,39-3030,NA,5,Broad Occupation
39-3031,"Ushers, Lobby Attendants, and Ticket Takers",39-0000,39-3000,39-3030,39-3031,6,Detailed Occupation
39-3090,Miscellaneous Entertainment Attendants and Related Workers,39-0000,39-3000,39-3090,NA,5,Broad Occupation
39-3091,Amusement and Recreation Attendants,39-0000,39-3000,39-3090,39-3091,6,Detailed Occupation
39-3092,Costume Attendants,39-0000,39-3000,39-3090,39-3092,6,Detailed Occupation
39-3093,"Locker Room, Coatroom, and Dressing Room Attendants",39-0000,39-3000,39-3090,39-3093,6,Detailed Occupation
39-3099,"Entertainment Attendants and Related Workers, All Other",39-0000,39-3000,39-3090,39-3099,6,Detailed Occupation
39-4000,Funeral Service Workers,39-0000,39-4000,NA,NA,3,Minor Group
39-4010,Embalmers,39-0000,39-4000,39-4010,NA,5,Broad Occupation
39-4011,Embalmers,39-0000,39-4000,39-4010,39-4011,6,Detailed Occupation
39-4020,Funeral Attendants,39-0000,39-4000,39-4020,NA,5,Broad Occupation
39-4021,Funeral Attendants,39-0000,39-4000,39-4020,39-4021,6,Detailed Occupation
39-5000,Personal Appearance Workers,39-0000,39-5000,NA,NA,3,Minor Group
39-5010,Barbers and Cosmetologists,39-0000,39-5000,39-5010,NA,5,Broad Occupation
39-5011,Barbers,39-0000,39-5000,39-5010,39-5011,6,Detailed Occupation
39-5012,"Hairdressers, Hairstylists, and Cosmetologists",39-0000,39-5000,39-5010,39-5012,6,Detailed Occupation
39-5090,Miscellaneous Personal Appearance Workers,39-0000,39-5000,39-5090,NA,5,Broad Occupation
39-5091,"Makeup Artists, Theatrical and Performance",39-0000,39-5000,39-5090,39-5091,6,Detailed Occupation
39-5092,Manicurists and Pedicurists,39-0000,39-5000,39-5090,39-5092,6,Detailed Occupation
39-5093,Shampooers,39-0000,39-5000,39-5090,39-5093,6,Detailed Occupation
39-5094,Skin Care Specialists,39-0000,39-5000,39-5090,39-5094,6,Detailed Occupation
39-6000,"Transportation, Tourism, and Lodging Attendants",39-0000,39-6000,NA,NA,3,Minor Group
39-6010,"Baggage Porters, Bellhops, and Concierges",39-0000,39-6000,39-6010,NA,5,Broad Occupation
39-6011,Baggage Porters and Bellhops,39-0000,39-6000,39-6010,39-6011,6,Detailed Occupation
39-6012,Concierges,39-0000,39-6000,39-6010,39-6012,6,Detailed Occupation
39-6020,Tour and Travel Guides,39-0000,39-6000,39-6020,NA,5,Broad Occupation
39-6021,Tour Guides and Escorts,39-0000,39-6000,39-6020,39-6021,6,Detailed Occupation
39-6022,Travel Guides,39-0000,39-6000,39-6020,39-6022,6,Detailed Occupation
39-6030,Transportation Attendants,39-0000,39-6000,39-6030,NA,5,Broad Occupation
39-6031,Flight Attendants,39-0000,39-6000,39-6030,39-6031,6,Detailed Occupation
39-6032,"Transportation Attendants, Except Flight Attendants and Baggage Porters",39-0000,39-6000,39-6030,39-6032,6,Detailed Occupation
39-9000,Other Personal Care and Service Workers,39-0000,39-9000,NA,NA,3,Minor Group
39-9010,Child Care Workers,39-0000,39-9000,39-9010,NA,5,Broad Occupation
39-9011,Child Care Workers,39-0000,39-9000,39-9010,39-9011,6,Detailed Occupation
39-9020,Personal and Home Care Aides,39-0000,39-9000,39-9020,NA,5,Broad Occupation
39-9021,Personal and Home Care Aides,39-0000,39-9000,39-9020,39-9021,6,Detailed Occupation
39-9030,Recreation and Fitness Workers,39-0000,39-9000,39-9030,NA,5,Broad Occupation
39-9031,Fitness Trainers and Aerobics Instructors,39-0000,39-9000,39-9030,39-9031,6,Detailed Occupation
39-9032,Recreation Workers,39-0000,39-9000,39-9030,39-9032,6,Detailed Occupation
39-9040,Residential Advisors,39-0000,39-9000,39-9040,NA,5,Broad Occupation
39-9041,Residential Advisors,39-0000,39-9000,39-9040,39-9041,6,Detailed Occupation
39-9090,Miscellaneous Personal Care and Service Workers,39-0000,39-9000,39-9090,NA,5,Broad Occupation
39-9099,"Personal Care and Service Workers, All Other",39-0000,39-9000,39-9090,39-9099,6,Detailed Occupation
41-0000,Sales and Related Occupations,41-0000,NA,NA,NA,2,Major Group
41-1000,"Supervisors, Sales Workers",41-0000,41-1000,NA,NA,3,Minor Group
41-1010,"First-Line Supervisors/Managers, Sales Workers",41-0000,41-1000,41-1010,NA,5,Broad Occupation
41-1011,First-Line Supervisors/Managers of Retail Sales Workers,41-0000,41-1000,41-1010,41-1011,6,Detailed Occupation
41-1012,First-Line Supervisors/Managers of Non-Retail Sales Workers,41-0000,41-1000,41-1010,41-1012,6,Detailed Occupation
41-2000,Retail Sales Workers,41-0000,41-2000,NA,NA,3,Minor Group
41-2010,Cashiers,41-0000,41-2000,41-2010,NA,5,Broad Occupation
41-2011,Cashiers,41-0000,41-2000,41-2010,41-2011,6,Detailed Occupation
41-2012,Gaming Change Persons and Booth Cashiers,41-0000,41-2000,41-2010,41-2012,6,Detailed Occupation
41-2020,Counter and Rental Clerks and Parts Salespersons,41-0000,41-2000,41-2020,NA,5,Broad Occupation
41-2021,Counter and Rental Clerks,41-0000,41-2000,41-2020,41-2021,6,Detailed Occupation
41-2022,Parts Salespersons,41-0000,41-2000,41-2020,41-2022,6,Detailed Occupation
41-2030,Retail Salespersons,41-0000,41-2000,41-2030,NA,5,Broad Occupation
41-2031,Retail Salespersons,41-0000,41-2000,41-2030,41-2031,6,Detailed Occupation
41-3000,"Sales Representatives, Services",41-0000,41-3000,NA,NA,3,Minor Group
41-3010,Advertising Sales Agents,41-0000,41-3000,41-3010,NA,5,Broad Occupation
41-3011,Advertising Sales Agents,41-0000,41-3000,41-3010,41-3011,6,Detailed Occupation
41-3020,Insurance Sales Agents,41-0000,41-3000,41-3020,NA,5,Broad Occupation
41-3021,Insurance Sales Agents,41-0000,41-3000,41-3020,41-3021,6,Detailed Occupation
41-3030,"Securities, Commodities, and Financial Services Sales Agents",41-0000,41-3000,41-3030,NA,5,Broad Occupation
41-3031,"Securities, Commodities, and Financial Services Sales Agents",41-0000,41-3000,41-3030,41-3031,6,Detailed Occupation
41-3040,Travel Agents,41-0000,41-3000,41-3040,NA,5,Broad Occupation
41-3041,Travel Agents,41-0000,41-3000,41-3040,41-3041,6,Detailed Occupation
41-3090,"Miscellaneous Sales Representatives, Services",41-0000,41-3000,41-3090,NA,5,Broad Occupation
41-3099,"Sales Representatives, Services, All Other",41-0000,41-3000,41-3090,41-3099,6,Detailed Occupation
41-4000,"Sales Representatives, Wholesale and Manufacturing",41-0000,41-4000,NA,NA,3,Minor Group
41-4010,"Sales Representatives, Wholesale and Manufacturing",41-0000,41-4000,41-4010,NA,5,Broad Occupation
41-4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",41-0000,41-4000,41-4010,41-4011,6,Detailed Occupation
41-4012,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",41-0000,41-4000,41-4010,41-4012,6,Detailed Occupation
41-9000,Other Sales and Related Workers,41-0000,41-9000,NA,NA,3,Minor Group
41-9010,"Models, Demonstrators, and Product Promoters",41-0000,41-9000,41-9010,NA,5,Broad Occupation
41-9011,Demonstrators and Product Promoters,41-0000,41-9000,41-9010,41-9011,6,Detailed Occupation
41-9012,Models,41-0000,41-9000,41-9010,41-9012,6,Detailed Occupation
41-9020,Real Estate Brokers and Sales Agents,41-0000,41-9000,41-9020,NA,5,Broad Occupation
41-9021,Real Estate Brokers,41-0000,41-9000,41-9020,41-9021,6,Detailed Occupation
41-9022,Real Estate Sales Agents,41-0000,41-9000,41-9020,41-9022,6,Detailed Occupation
41-9030,Sales Engineers,41-0000,41-9000,41-9030,NA,5,Broad Occupation
41-9031,Sales Engineers,41-0000,41-9000,41-9030,41-9031,6,Detailed Occupation
41-9040,Telemarketers,41-0000,41-9000,41-9040,NA,5,Broad Occupation
41-9041,Telemarketers,41-0000,41-9000,41-9040,41-9041,6,Detailed Occupation
41-9090,Miscellaneous Sales and Related Workers,41-0000,41-9000,41-9090,NA,5,Broad Occupation
41-9091,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",41-0000,41-9000,41-9090,41-9091,6,Detailed Occupation
41-9099,"Sales and Related Workers, All Other",41-0000,41-9000,41-9090,41-9099,6,Detailed Occupation
43-0000,Office and Administrative Support Occupations,43-0000,NA,NA,NA,2,Major Group
43-1000,"Supervisors, Office and Administrative Support Workers",43-0000,43-1000,NA,NA,3,Minor Group
43-1010,First-Line Supervisors/Managers of Office and Administrative Support Workers,43-0000,43-1000,43-1010,NA,5,Broad Occupation
43-1011,First-Line Supervisors/Managers of Office and Administrative Support Workers,43-0000,43-1000,43-1010,43-1011,6,Detailed Occupation
43-2000,Communications Equipment Operators,43-0000,43-2000,NA,NA,3,Minor Group
43-2010,"Switchboard Operators, Including Answering Service",43-0000,43-2000,43-2010,NA,5,Broad Occupation
43-2011,"Switchboard Operators, Including Answering Service",43-0000,43-2000,43-2010,43-2011,6,Detailed Occupation
43-2020,Telephone Operators,43-0000,43-2000,43-2020,NA,5,Broad Occupation
43-2021,Telephone Operators,43-0000,43-2000,43-2020,43-2021,6,Detailed Occupation
43-2090,Miscellaneous Communications Equipment Operators,43-0000,43-2000,43-2090,NA,5,Broad Occupation
43-2099,"Communications Equipment Operators, All Other",43-0000,43-2000,43-2090,43-2099,6,Detailed Occupation
43-3000,Financial Clerks,43-0000,43-3000,NA,NA,3,Minor Group
43-3010,Bill and Account Collectors,43-0000,43-3000,43-3010,NA,5,Broad Occupation
43-3011,Bill and Account Collectors,43-0000,43-3000,43-3010,43-3011,6,Detailed Occupation
43-3020,Billing and Posting Clerks and Machine Operators,43-0000,43-3000,43-3020,NA,5,Broad Occupation
43-3021,Billing and Posting Clerks and Machine Operators,43-0000,43-3000,43-3020,43-3021,6,Detailed Occupation
43-3030,"Bookkeeping, Accounting, and Auditing Clerks",43-0000,43-3000,43-3030,NA,5,Broad Occupation
43-3031,"Bookkeeping, Accounting, and Auditing Clerks",43-0000,43-3000,43-3030,43-3031,6,Detailed Occupation
43-3040,Gaming Cage Workers,43-0000,43-3000,43-3040,NA,5,Broad Occupation
43-3041,Gaming Cage Workers,43-0000,43-3000,43-3040,43-3041,6,Detailed Occupation
43-3050,Payroll and Timekeeping Clerks,43-0000,43-3000,43-3050,NA,5,Broad Occupation
43-3051,Payroll and Timekeeping Clerks,43-0000,43-3000,43-3050,43-3051,6,Detailed Occupation
43-3060,Procurement Clerks,43-0000,43-3000,43-3060,NA,5,Broad Occupation
43-3061,Procurement Clerks,43-0000,43-3000,43-3060,43-3061,6,Detailed Occupation
43-3070,Tellers,43-0000,43-3000,43-3070,NA,5,Broad Occupation
43-3071,Tellers,43-0000,43-3000,43-3070,43-3071,6,Detailed Occupation
43-4000,Information and Record Clerks,43-0000,43-4000,NA,NA,3,Minor Group
43-4010,Brokerage Clerks,43-0000,43-4000,43-4010,NA,5,Broad Occupation
43-4011,Brokerage Clerks,43-0000,43-4000,43-4010,43-4011,6,Detailed Occupation
43-4020,Correspondence Clerks,43-0000,43-4000,43-4020,NA,5,Broad Occupation
43-4021,Correspondence Clerks,43-0000,43-4000,43-4020,43-4021,6,Detailed Occupation
43-4030,"Court, Municipal, and License Clerks",43-0000,43-4000,43-4030,NA,5,Broad Occupation
43-4031,"Court, Municipal, and License Clerks",43-0000,43-4000,43-4030,43-4031,6,Detailed Occupation
43-4040,"Credit Authorizers, Checkers, and Clerks",43-0000,43-4000,43-4040,NA,5,Broad Occupation
43-4041,"Credit Authorizers, Checkers, and Clerks",43-0000,43-4000,43-4040,43-4041,6,Detailed Occupation
43-4050,Customer Service Representatives,43-0000,43-4000,43-4050,NA,5,Broad Occupation
43-4051,Customer Service Representatives,43-0000,43-4000,43-4050,43-4051,6,Detailed Occupation
43-4060,"Eligibility Interviewers, Government Programs",43-0000,43-4000,43-4060,NA,5,Broad Occupation
43-4061,"Eligibility Interviewers, Government Programs",43-0000,43-4000,43-4060,43-4061,6,Detailed Occupation
43-4070,File Clerks,43-0000,43-4000,43-4070,NA,5,Broad Occupation
43-4071,File Clerks,43-0000,43-4000,43-4070,43-4071,6,Detailed Occupation
43-4080,"Hotel, Motel, and Resort Desk Clerks",43-0000,43-4000,43-4080,NA,5,Broad Occupation
43-4081,"Hotel, Motel, and Resort Desk Clerks",43-0000,43-4000,43-4080,43-4081,6,Detailed Occupation
43-4110,"Interviewers, Except Eligibility and Loan",43-0000,43-4000,43-4110,NA,5,Broad Occupation
43-4111,"Interviewers, Except Eligibility and Loan",43-0000,43-4000,43-4110,43-4111,6,Detailed Occupation
43-4120,"Library Assistants, Clerical",43-0000,43-4000,43-4120,NA,5,Broad Occupation
43-4121,"Library Assistants, Clerical",43-0000,43-4000,43-4120,43-4121,6,Detailed Occupation
43-4130,Loan Interviewers and Clerks,43-0000,43-4000,43-4130,NA,5,Broad Occupation
43-4131,Loan Interviewers and Clerks,43-0000,43-4000,43-4130,43-4131,6,Detailed Occupation
43-4140,New Accounts Clerks,43-0000,43-4000,43-4140,NA,5,Broad Occupation
43-4141,New Accounts Clerks,43-0000,43-4000,43-4140,43-4141,6,Detailed Occupation
43-4150,Order Clerks,43-0000,43-4000,43-4150,NA,5,Broad Occupation
43-4151,Order Clerks,43-0000,43-4000,43-4150,43-4151,6,Detailed Occupation
43-4160,"Human Resources Assistants, Except Payroll and Timekeeping",43-0000,43-4000,43-4160,NA,5,Broad Occupation
43-4161,"Human Resources Assistants, Except Payroll and Timekeeping",43-0000,43-4000,43-4160,43-4161,6,Detailed Occupation
43-4170,Receptionists and Information Clerks,43-0000,43-4000,43-4170,NA,5,Broad Occupation
43-4171,Receptionists and Information Clerks,43-0000,43-4000,43-4170,43-4171,6,Detailed Occupation
43-4180,Reservation and Transportation Ticket Agents and Travel Clerks,43-0000,43-4000,43-4180,NA,5,Broad Occupation
43-4181,Reservation and Transportation Ticket Agents and Travel Clerks,43-0000,43-4000,43-4180,43-4181,6,Detailed Occupation
43-4190,Miscellaneous Information and Record Clerks,43-0000,43-4000,43-4190,NA,5,Broad Occupation
43-4199,"Information and Record Clerks, All Other",43-0000,43-4000,43-4190,43-4199,6,Detailed Occupation
43-5000,"Material Recording, Scheduling, Dispatching, and Distributing Workers",43-0000,43-5000,NA,NA,3,Minor Group
43-5010,Cargo and Freight Agents,43-0000,43-5000,43-5010,NA,5,Broad Occupation
43-5011,Cargo and Freight Agents,43-0000,43-5000,43-5010,43-5011,6,Detailed Occupation
43-5020,Couriers and Messengers,43-0000,43-5000,43-5020,NA,5,Broad Occupation
43-5021,Couriers and Messengers,43-0000,43-5000,43-5020,43-5021,6,Detailed Occupation
43-5030,Dispatchers,43-0000,43-5000,43-5030,NA,5,Broad Occupation
43-5031,"Police, Fire, and Ambulance Dispatchers",43-0000,43-5000,43-5030,43-5031,6,Detailed Occupation
43-5032,"Dispatchers, Except Police, Fire, and Ambulance",43-0000,43-5000,43-5030,43-5032,6,Detailed Occupation
43-5040,"Meter Readers, Utilities",43-0000,43-5000,43-5040,NA,5,Broad Occupation
43-5041,"Meter Readers, Utilities",43-0000,43-5000,43-5040,43-5041,6,Detailed Occupation
43-5050,Postal Service Workers,43-0000,43-5000,43-5050,NA,5,Broad Occupation
43-5051,Postal Service Clerks,43-0000,43-5000,43-5050,43-5051,6,Detailed Occupation
43-5052,Postal Service Mail Carriers,43-0000,43-5000,43-5050,43-5052,6,Detailed Occupation
43-5053,"Postal Service Mail Sorters, Processors, and Processing Machine Operators",43-0000,43-5000,43-5050,43-5053,6,Detailed Occupation
43-5060,"Production, Planning, and Expediting Clerks",43-0000,43-5000,43-5060,NA,5,Broad Occupation
43-5061,"Production, Planning, and Expediting Clerks",43-0000,43-5000,43-5060,43-5061,6,Detailed Occupation
43-5070,"Shipping, Receiving, and Traffic Clerks",43-0000,43-5000,43-5070,NA,5,Broad Occupation
43-5071,"Shipping, Receiving, and Traffic Clerks",43-0000,43-5000,43-5070,43-5071,6,Detailed Occupation
43-5080,Stock Clerks and Order Fillers,43-0000,43-5000,43-5080,NA,5,Broad Occupation
43-5081,Stock Clerks and Order Fillers,43-0000,43-5000,43-5080,43-5081,6,Detailed Occupation
43-5110,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",43-0000,43-5000,43-5110,NA,5,Broad Occupation
